id,host_id,availability_365,number_of_reviews_ltm
697719018975213225,475918366,109,59.0
805191501092742028,436641358,161,59.0
878992991320862924,512058432,316,59.0
3385725,17035919,4,59.0
2054538,5057234,126,59.0
6709228,35124028,132,59.0
554100196138799969,443367288,312,59.0
841266314361820523,503460304,267,59.0
821100,4311845,97,59.0
615794458278419978,388714704,324,59.0
896269935855109615,414713135,68,59.0
19902564,383697,272,59.0
656746284190714271,105119580,116,59.0
1008698241541790424,539406652,76,59.0
12598354,68356937,22,59.0
40665168,50132899,10,59.0
19955807,43259405,281,59.0
636102937115880254,44779028,32,59.0
43243533,16005273,107,59.0
25480861,16942638,275,58.0
48331557,388714704,302,58.0
842551239352280375,504431152,318,58.0
1249641,6809870,51,58.0
695032942496390153,541443871,316,58.0
3188342,16163864,80,58.0
51344618,415833623,107,58.0
2029507,5543127,246,58.0
924030123443003180,281468243,232,58.0
16773390,3403659,291,58.0
901452112874617432,512658514,25,58.0
38257829,46159733,297,58.0
52360027,423400965,318,58.0
2293777,5070884,321,58.0
3350190,16905422,175,58.0
45652524,385734768,115,58.0
796133364322382753,145318091,129,58.0
642428457481774348,462635357,278,58.0
45746921,362312215,213,58.0
892001096306194505,514872093,345,58.0
940338,674212,273,58.0
940930879956130147,481799583,145,58.0
638402738585727778,160922996,163,58.0
35212944,265137184,83,58.0
4216358,21882055,204,58.0
4380982,3238232,1,58.0
841273063708418049,503460304,199,58.0
33703229,525793,201,58.0
771611211852365442,480602819,147,58.0
583987826544046548,449871254,8,58.0
575498261125326847,54716818,25,58.0
50124259,44774469,216,58.0
1235805,6737316,307,57.0
15367704,2750390,301,57.0
2131496,6166581,147,57.0
2781640,14227531,255,57.0
2786688,8621770,142,57.0
19060476,131794,80,57.0
41920692,155203517,59,57.0
1272804,6927367,125,57.0
39772949,305453169,252,57.0
1987048,2810950,72,57.0
39741313,305453169,262,57.0
18782153,2273079,151,57.0
8030534,32968395,153,57.0
805187979278991526,436641358,164,57.0
17375977,21483975,88,57.0
34668135,261192628,319,57.0
716417508063535121,436641358,153,57.0
698455037502953541,54716818,21,57.0
663096,3348832,328,57.0
564751506298651530,3423639,312,57.0
33209678,250036779,82,57.0
52399445,30906028,327,57.0
5093591,26317730,86,57.0
1739507,9159333,291,57.0
35255592,3348832,305,57.0
1613942,2083075,266,57.0
937447130141428110,3556337,314,57.0
45932927,178208020,281,57.0
936734,5045046,19,57.0
48818432,61360206,276,57.0
3559666,6809870,17,57.0
2351233,12006146,267,57.0
801294111570442501,3556337,290,57.0
31397584,155203517,77,57.0
31604644,32037490,148,57.0
21390932,139063900,248,57.0
1008701265559805854,539406652,78,57.0
13114888,72935372,172,57.0
4973086,2517378,289,57.0
23785855,178423119,0,57.0
36688107,267521404,96,57.0
36052325,270258032,345,57.0
36901199,277329714,165,57.0
21411730,139063900,26,57.0
902732239438101002,213362337,68,56.0
898907016350628220,220999969,63,56.0
602465982075695391,133061551,41,56.0
19779318,139063900,245,56.0
1014886143637428188,109370398,277,56.0
1474914,7894301,309,56.0
1161417,6362995,175,56.0
13382536,50345502,36,56.0
14482262,5682394,35,56.0
12207845,47347356,287,56.0
52047510,420938544,30,56.0
905531607109157699,517987064,280,56.0
23278873,40872276,94,56.0
677464679544492998,471113754,20,56.0
826765533702129277,499525052,61,56.0
12332051,41933599,72,56.0
9602587,3556337,327,56.0
582486497819385632,235114153,86,56.0
50540644,17612059,113,56.0
11334487,59317222,172,56.0
40983,177617,278,56.0
2512546,3038266,201,56.0
50788047,371894667,54,56.0
49960362,9667715,110,56.0
13780544,362734677,303,56.0
12791930,26781307,193,56.0
50753575,255777870,77,56.0
6808901,14945317,336,56.0
721706038214507015,480602819,246,56.0
723022417825018205,82070446,331,56.0
720160135980281641,479726091,348,56.0
649666729910518567,36233647,169,56.0
797613935004761582,424971020,62,56.0
1020967033657525100,545738057,101,56.0
17628425,902253,66,56.0
47863477,2537484,339,56.0
839043944597128746,176514024,157,56.0
642578238823129651,462670617,322,56.0
656117489866704375,396097003,291,56.0
636655325451341783,22605933,82,56.0
3567993,6166581,144,56.0
648385996962982846,464032148,319,56.0
653638312452638458,414713135,64,56.0
22548858,6748687,103,56.0
675031853834527865,20003337,157,55.0
196021,953719,282,55.0
50081241,8001113,313,55.0
924350632464761061,14216613,334,55.0
41897762,178208020,232,55.0
44030678,342801269,112,55.0
981777479537101521,537392495,156,55.0
40961844,226021284,97,55.0
33212737,250036779,89,55.0
841435360429651375,504204894,81,55.0
1756975,8965423,38,55.0
623653558972433630,406528119,317,55.0
17472277,5201227,283,55.0
588268,2738055,297,55.0
32200318,40676061,93,55.0
39221445,37610930,46,55.0
849042635414662644,338971842,150,55.0
846431103665758838,504452584,49,55.0
767951192535886373,3556337,318,55.0
698593,3454952,81,55.0
23031576,169257198,167,55.0
48035923,373330392,351,55.0
1039211,5721224,282,55.0
27127886,187678706,243,55.0
5337674,13426564,338,55.0
3328222,10881674,293,55.0
23971317,101458186,323,55.0
40578133,3556337,309,55.0
5268514,12984056,64,55.0
54077502,9439719,62,55.0
38306095,46159733,296,55.0
889674294011039472,514220265,339,55.0
393717,1968590,290,55.0
960613570318322468,490593094,75,55.0
796959273185621371,289914244,66,55.0
19846038,1432835,60,55.0
3027670,12115133,316,55.0
50487234,406925898,38,55.0
29915833,15743379,205,55.0
2981721,15205607,46,55.0
2555964,13087527,279,54.0
2951974,3403659,300,54.0
820888296888269310,436641358,147,54.0
31346422,84125915,82,54.0
1128710150341037800,3038197,203,54.0
822930456623012648,9400556,261,54.0
945007,134673,71,54.0
29536130,165360303,221,54.0
10170589,10195643,254,54.0
2743539,14036379,174,54.0
13764399,55670542,67,54.0
915924719175127388,29500810,322,54.0
12256600,17532317,288,54.0
44246711,304288450,182,54.0
1035271287178550909,186283872,137,54.0
9048372,42109537,164,54.0
907801277954881530,481179647,51,54.0
5437314,7547875,271,54.0
3292049,16631497,131,54.0
43324063,15775899,309,54.0
12858429,70278696,150,54.0
2333994,11922783,296,54.0
43940245,351843826,297,54.0
35477075,5878688,207,54.0
638889726879581899,134718763,295,54.0
535507936337070255,12006146,220,54.0
7852092,3558810,134,54.0
897652366041176086,198800635,136,54.0
853516243233238117,117487353,153,54.0
866423239312111284,491199952,347,54.0
14164414,85686018,238,54.0
581025528627007525,1920353,189,54.0
923035877480906247,138658687,42,54.0
34272000,101458186,315,54.0
738965994811389537,102449683,53,54.0
49457063,397201984,147,54.0
842389,631951,237,54.0
663688762617652726,1920353,169,54.0
1477381,7906740,290,54.0
27823920,178208020,238,54.0
